Epoch, Train Accuracy, Validation Accuracy, 
0, 94.3843, 94.6667, 
1, 95.7608, 95.5444, 
2, 95.8706, 95.4889, 
3, 96.1784, 95.8556, 
4, 95.8667, 95.1111, 
5, 97.098, 96.1222, 
6, 97.2941, 96.3111, 
7, 97.4137, 96.1778, 
8, 97.6235, 96.4222, 
9, 97.8882, 96.4, 
10, 97.8608, 96.3, 
11, 97.8098, 96.4889, 
12, 98.0745, 96.4667, 
13, 98.0431, 96.1444, 
14, 98.4902, 96.4111, 
15, 98.3314, 96.5222, 
16, 98.0412, 96.2222, 
17, 98.5039, 96.1556, 
18, 97.9804, 95.9333, 
19, 98.6235, 96.4889, 
20, 98.5902, 96.4333, 
21, 98.5294, 96.1333, 
22, 98.4843, 96.2, 
23, 98.6608, 96.1667, 
24, 98.8569, 96.3333, 
25, 98.7647, 96.2556, 
26, 98.6431, 96.1667, 
27, 99.0706, 96.4, 
28, 99.0039, 96.1333, 
29, 99.1882, 96.3667, 
