Epoch, Train Accuracy, Validation Accuracy, 
0, 94.4765, 94.8889, 
1, 95.8843, 95.9444, 
2, 96.3882, 96.0778, 
3, 95.7549, 95.5333, 
4, 96.4961, 95.9444, 
5, 96.5431, 96.1444, 
6, 96.4902, 96.0444, 
7, 97.0157, 96.6, 
8, 97.0667, 96.7111, 
9, 96.8, 96.1111, 
10, 97.1588, 96.6444, 
11, 97.1608, 96.6667, 
12, 97.1843, 96.7333, 
13, 97.4196, 96.8, 
14, 96.5255, 96.1667, 
15, 97.2902, 96.5222, 
16, 95.949, 95.2556, 
17, 97.6098, 96.9222, 
18, 97.5412, 96.7556, 
19, 97.2412, 96.8444, 
20, 97.3255, 96.4333, 
21, 97.0627, 96.3444, 
22, 96.8255, 96.2889, 
23, 97.0471, 96.1444, 
24, 97.5157, 96.9333, 
25, 97.2745, 96.9444, 
26, 97.0196, 96.4111, 
27, 97.1922, 96.6444, 
28, 97.3804, 96.7111, 
29, 97.6, 96.9444, 
30, 97.4412, 96.8444, 
31, 97.2941, 96.8111, 
32, 97.351, 96.6444, 
33, 97.6431, 96.8556, 
34, 97.1706, 96.6111, 
35, 97.5824, 96.8, 
36, 97.1431, 96.4222, 
37, 97.5608, 97.0111, 
38, 97.2765, 96.7667, 
39, 97.3412, 96.6556, 
40, 97.4216, 96.8778, 
41, 97.1882, 96.4556, 
42, 97.3902, 96.7222, 
43, 97.2098, 96.6333, 
44, 97.3765, 96.7556, 
45, 97.598, 96.6556, 
46, 97.249, 96.6111, 
47, 97.1314, 96.5556, 
48, 97.3549, 96.8444, 
49, 97.602, 96.8556, 
50, 97.5824, 96.8222, 
51, 97.0667, 96.2889, 
52, 97.4961, 96.8556, 
53, 97.3275, 96.8111, 
54, 97.7098, 96.9, 
55, 97.4294, 96.7333, 
56, 97.5843, 96.7444, 
57, 97.4176, 96.6333, 
58, 97.0745, 96.4111, 
59, 97.398, 96.6444, 
60, 97.4392, 96.6778, 
61, 97.0686, 96.3556, 
62, 96.8059, 96.3889, 
63, 97.4235, 96.8667, 
64, 97.9137, 97.1222, 
65, 97.5216, 96.9, 
66, 97.5804, 96.7333, 
67, 97.7314, 96.6889, 
68, 97.3098, 96.6222, 
69, 97.4373, 96.8, 
70, 96.9922, 96.2222, 
71, 97.5765, 96.7, 
72, 97.5961, 96.7111, 
73, 97.7726, 96.6556, 
74, 96.6902, 96.0222, 
75, 96.9627, 96.3889, 
76, 96.8471, 96.0222, 
77, 97.3353, 96.5444, 
78, 97.2843, 96.7, 
79, 97.3627, 96.7111, 
80, 97.7726, 97.1444, 
81, 97.2745, 96.7111, 
82, 97.0588, 96.3, 
83, 97.3373, 96.5444, 
84, 97.5588, 96.8333, 
85, 97.6745, 96.9889, 
86, 97.2686, 96.3667, 
87, 97.6784, 96.9778, 
88, 97.4706, 96.5444, 
89, 97.2765, 96.4889, 
90, 97.4725, 96.5889, 
91, 97.4804, 96.8, 
92, 97.6039, 97.0333, 
93, 97.8, 96.7889, 
94, 97.6608, 96.8667, 
95, 98.0314, 97.0667, 
96, 97.8294, 97.0556, 
97, 97.6059, 96.9222, 
98, 97.1157, 96.5444, 
99, 97.751, 96.8667, 
