Epoch, Train Accuracy, Train Cost, Validation Accuracy, Validation Cost, 
0, 93.6588, 0.0533928, 94.0889, 0.0500709, 
1, 94.8804, 0.0438373, 94.8889, 0.0428969, 
2, 95.3608, 0.0396873, 95.2667, 0.0400521, 
3, 95.6549, 0.0376096, 95.3333, 0.0389288, 
4, 96.2941, 0.0332893, 95.6667, 0.0368782, 
5, 96.2569, 0.033341, 95.4778, 0.0385079, 
6, 96.498, 0.0307861, 95.4667, 0.0373497, 
7, 96.6529, 0.0299405, 95.7889, 0.036449, 
8, 96.5961, 0.0298841, 95.8667, 0.0359511, 
9, 96.8294, 0.0280571, 95.8333, 0.0356944, 
10, 96.9431, 0.0270181, 96.0889, 0.0342574, 
11, 96.849, 0.0275164, 95.9, 0.0350703, 
12, 97.0392, 0.0260157, 95.9667, 0.0357229, 
13, 97.1314, 0.0259885, 96.0667, 0.0351135, 
14, 97.3078, 0.0239638, 96.1444, 0.033534, 
15, 97.4039, 0.0228375, 96, 0.0346425, 
16, 97.4961, 0.0228139, 96.0889, 0.0340509, 
17, 97.3431, 0.0236242, 95.9444, 0.0345052, 
18, 97.5176, 0.0220363, 96.0333, 0.0349061, 
19, 97.8549, 0.0197959, 96.2111, 0.0323422, 
20, 97.6922, 0.0206376, 96.0444, 0.0339226, 
21, 97.7333, 0.0203444, 96.1333, 0.0339231, 
22, 97.8216, 0.0197668, 96.0333, 0.0342801, 
23, 97.898, 0.0192281, 96.1556, 0.0338494, 
24, 97.8765, 0.0190768, 96.1889, 0.0341722, 
25, 97.7608, 0.0203508, 96.1222, 0.0346287, 
26, 98.0569, 0.0172659, 96.1556, 0.0339598, 
27, 97.9118, 0.0195557, 96.3778, 0.0334845, 
28, 98.0373, 0.0177915, 96.1444, 0.0343917, 
29, 98.1314, 0.0166997, 96.1111, 0.0335651, 
