Epoch, Train Accuracy, Train Cost, Validation Accuracy, Validation Cost, 
0, 93.9059, 0.0507149, 94.1556, 0.0478638, 
1, 94.9412, 0.0432362, 94.9333, 0.0430243, 
2, 95.9882, 0.0358433, 95.6778, 0.0363968, 
3, 96.2059, 0.0338145, 95.6444, 0.0375352, 
4, 96.2059, 0.0340155, 95.8333, 0.0370109, 
5, 96.6314, 0.0309969, 95.6, 0.0375405, 
6, 97.1412, 0.0266261, 96.0222, 0.0334195, 
7, 97.0647, 0.0267844, 96.2444, 0.0334999, 
8, 97.3196, 0.0254012, 96.1111, 0.0337658, 
9, 97.5137, 0.0239642, 96.3111, 0.0328035, 
10, 97.4412, 0.0241867, 96.1222, 0.0337222, 
11, 97.5745, 0.0241294, 96.1889, 0.0338048, 
12, 97.7294, 0.022723, 96.3333, 0.0336049, 
13, 97.9275, 0.0207353, 96.5222, 0.0313756, 
14, 97.8726, 0.0209778, 96.3, 0.0328154, 
15, 97.998, 0.0198678, 96.4778, 0.0322761, 
16, 98.0961, 0.0196772, 96.3333, 0.0337064, 
17, 98.098, 0.0195954, 96.2667, 0.033348, 
18, 97.8882, 0.0214948, 95.9778, 0.0353098, 
19, 98.1765, 0.0190707, 96.1778, 0.0343251, 
20, 98.2314, 0.0181225, 96.1778, 0.0329187, 
21, 98.2882, 0.0178096, 96.4556, 0.0330359, 
22, 98.4275, 0.0168133, 96.2333, 0.0342289, 
23, 98.4275, 0.0164148, 96.2556, 0.0340928, 
24, 98.2647, 0.0184785, 96.0556, 0.0352052, 
25, 98.2608, 0.0178852, 96.1556, 0.0344212, 
26, 98.5216, 0.015899, 96.3111, 0.0338286, 
27, 98.6039, 0.0160012, 96.2333, 0.0333706, 
28, 98.4941, 0.0163481, 96.3778, 0.0341915, 
29, 98.3176, 0.0174441, 96.1111, 0.0349614, 
