Epoch, Train Accuracy, Train Cost, Validation Accuracy, Validation Cost, 
0, 94.0706, 0.0449555, 94.0667, 0.0436427, 
1, 94.6608, 0.0403473, 94.6333, 0.0414091, 
2, 96.351, 0.0283578, 95.7111, 0.0324203, 
3, 96.0353, 0.0298767, 95.2667, 0.0366994, 
4, 96.8078, 0.0243458, 95.9333, 0.0306258, 
5, 96.6941, 0.0245684, 95.8222, 0.0323663, 
6, 97.3588, 0.0201965, 96.1444, 0.0303112, 
7, 97.4529, 0.0192671, 96.2, 0.0299316, 
8, 97.1294, 0.0215645, 95.7778, 0.0326881, 
9, 97.1686, 0.0208963, 95.9778, 0.0307977, 
10, 97.6392, 0.0181209, 95.8667, 0.0330725, 
11, 97.798, 0.0168097, 96.1333, 0.0299431, 
12, 98.1118, 0.0144908, 96.1889, 0.0298279, 
13, 98.2863, 0.0132629, 96.5333, 0.0277506, 
14, 98.3137, 0.0129163, 96.2222, 0.02973, 
15, 98.4235, 0.0120748, 96.3, 0.0291643, 
16, 98.4863, 0.0115906, 96.3222, 0.0298236, 
17, 98.5431, 0.0113141, 96.1778, 0.0292303, 
18, 98.6353, 0.0104157, 96.4889, 0.0283534, 
19, 98.2, 0.0136608, 96.1111, 0.0303633, 
20, 98.4686, 0.0119368, 96.4889, 0.0293328, 
21, 98.5784, 0.0109974, 96.2111, 0.029953, 
22, 99.051, 0.00769791, 96.4556, 0.0279844, 
23, 98.6333, 0.0106146, 96.1, 0.0311527, 
24, 98.4549, 0.0120493, 96.2444, 0.0309369, 
25, 98.7, 0.00994501, 96.2667, 0.0301545, 
26, 98.902, 0.00839779, 96.5, 0.0285194, 
27, 99.2157, 0.00633326, 96.4222, 0.0288725, 
28, 99.0275, 0.00744952, 96.2111, 0.0301403, 
29, 99.0471, 0.00756511, 96.2111, 0.0309082, 
