Epoch, Train Accuracy, Validation Accuracy, 
0, 93.7941, 93.9778, 
1, 94.4216, 94.3, 
2, 95.7157, 95.6, 
3, 95.6804, 95.0889, 
4, 96.8059, 96.2889, 
5, 96.4412, 95.9889, 
6, 96.5725, 96.3222, 
7, 96.8784, 96.0444, 
8, 97.0471, 96.1889, 
9, 97.2255, 96.2444, 
10, 97.0882, 96.3, 
11, 97.3373, 96.6, 
12, 97.1059, 96.2333, 
13, 97.298, 96.3778, 
14, 97.0118, 96.1778, 
15, 97.4824, 96.4111, 
16, 96.8196, 96.1333, 
17, 97.2706, 96.6778, 
18, 97.0216, 96.3111, 
19, 97.098, 96.2667, 
20, 97.3902, 96.5333, 
21, 97.4235, 96.7, 
22, 97.4588, 96.7667, 
23, 95.5804, 94.8778, 
24, 97.0588, 96.4, 
25, 96.9686, 96.4556, 
26, 97.8784, 96.9556, 
27, 97.2922, 96.4556, 
28, 97.5529, 96.6778, 
29, 97.4431, 96.7889, 
